feature,importance
cir_std,0.1388645891556638
cir_energy,0.11122416859431304
RANGE,0.10757583058176526
cir_max,0.10681465063151296
cir_rms,0.09730440039719683
RXPACC,0.08304844088262571
cir_mean,0.07409921016572088
FP_AMP3,0.047504397169115524
CIR_PWR,0.039101715369951356
FP_AMP2,0.03690213110691631
MAX_NOISE,0.033854262101048
cir_skewness,0.026937899643327566
FP_AMP1,0.026486008999354285
cir_kurtosis,0.02320302040575481
STDEV_NOISE,0.019873168370550507
cir_peak_idx,0.013829160711765489
FP_IDX,0.010343695053068074
FRAME_LEN,0.002842417060721713
PREAM_LEN,0.00019083359962787923
